Designation In English,المسمى الوظيفي بالإنجليزي
Designation,المسمى الوظيفي
Level,الدرجة
Attendance Hours,مواعيد العمل
End date of Civil ID,تاريخ انتهاء الهوية
Date of Joining,تاريخ المباشرة
Civil ID,رقم الهوية
Grandmother,جدة
Grandfather,جد
Wife,زوجة
Son,أخ
Daughter,أخت
Father,أب
Designation Name in English,المسمى الوظيفي باللغة الإنجليزية
employee name english,الاسم باللغة الإنجليزية
Nationality English,الجنسية باللغة الإنجليزية
date,التاريخ
Overtime Hours,ساعات العمل الإضافي
Overtime Request,طلب العمل الإضافي
Promotion and Merit Increase,طلب ترقية
Type of Badge Request,نوع طلب بطاقة العمل
Repay Once,سداد مرة واحدة
Repay over Number of Months,سداد على مدار أكثر من شهر
Get Medical Disclaimer Templete,الحصول على نموذج إخلاء المسؤولية الطبية
department,قسم
Member,عضو
Job Application,طلب وظيفة
UPDATE PROFILE,تعديل الملف الشخصي
Make Student Batch,انشاء دفعة طلاب
"Student Batches help you track attendance, assessments and fees for students",دفعات الطالب تساعدك على تتبع الحضور والتقييمات والرسوم للطلاب
Group your students in batches,جمع طلابك في دفعات
"Create Employee records to manage leaves, expense claims and payroll",إنشاء سجلات الموظفين لإدارة الاذونات ومطالبات النفقات وكشوف المرتبات
Create Employee Records,إنشاء سجلات الموظفين
Make Student,اضافة طالب
"Students are at the heart of the system, add all your students",الطلاب هم حجر الاساس في النظام ، اضف كل الطلاب الان
Add Students,اضافة طالب
Report Builder,منشئ التقارير
Setting up Email Account,إعداد حساب البريد الإلكتروني
Applications,التطبيقات
Print Format,تنسيق الطباعة
Document Share Report,تقرير مشاركة المستند
Permitted Documents For User,المستندات المسموحة للمستخدم
Customizing Forms,تخصيص النماذج
Warranty,الضمانة
Production Analytics,تحليلات الإنتاج
BOM Browser,متصفح فاتورة الموارد
Leave Management,إدارة الإجازات
Daily Work Summary Settings,إعدادات ملخص العمل اليومي
Training Feedback,ملاحظات التدريب
Training Result,نتيجة التدريب
Training Event,الحدث التدريبي
Employee Loan,قرض الموظفين
Employee Loan Application,طلب قرض الموظفين
Loan Type,نوع القرض
Employee Loan Management,إدارة قروض الموظفين
Team Updates,تحديثات الفريق
Leaves and Holiday,الاذونات والاجازات
Salary Slip,قسيمة الراتب
Recruitment,التوظيف
Supplier Addresses And Contacts,عناوين الموردين وعناوين الاتصال
Item-wise Purchase History,سجل المشتريات علي مستوي الصنف
Material Requests for which Supplier Quotations are not created,طلبات المواد التي لم يتم إنشاء عروض أسعار للموردين بها
Requested Items To Be Ordered,طلبية الاصناف المطلوبة
Items To Be Requested,الاصناف المطلوب طلبها
Purchase Order Trends,اتجاهات أمر الشراء
Supplier-Wise Sales Analytics,تحليل البيع علي مستوى المورد
Integrations,الاضافات
Pending SO Items For Purchase Request,طلب مبيعات الاصناف المعلق لطلب الشراء
Item-wise Sales History,سجل المبيعات علي مستوي الصنف
Sales Order to Payment,طلب المبيعات للدفع
Items and Pricing,الاصناف والتسعيرة
Lead to Quotation,من مبادرة بيع إلى عرض سعر
SMS Settings,اعدادات الرسائل القصيرة
SMS Log,سجل الرسائل القصيرة
Sales Pipeline,مجرى البيع
Stock Ageing,التقدم في عمر المخزون
Batch Inventory,جرد الدفعة
Managing Subcontracting,إدارة التعاقدات الفرعية
Making Stock Entries,إنشاء مدخلات للمخزون
Opening Stock Balance,رصيد الافتتاح للمخزون
Itemwise Recommended Reorder Level,مستوى إعادةالطلب الموصي به بناء علي الصنف
Item Prices,اسعار الصنف
Batch Item Expiry Status,حالة انتهاء صلاحية الدفعة
